zinc_id,name,smiles,catalog
20436848,,NC(=O)CN1CCOCC1,ZINC20
33691246,,CNC(=S)NC(=N)N,ZINC20
36379848,,O=C(O)c1cn(CCO)nn1,ZINC20
105090729,,OC[C@@H]1O[C@@H](O)[C@H](CO)O[C@@H]1O,ZINC20
1693258,,NCC(O)CN,ZINC20
5374243,,O=C1N[C@@H](CO)C(=O)N2CCC[C@@H]12,ZINC20
44728718,,COCCOCCNC(=O)C(=O)O,ZINC20
60120547,,NCC1(CN)COC1,ZINC20
1772716791,,CN(C)S(=O)(=O)CC1(O)COC1,ZINC20
12957834,,N[C@H]1COC[C@@H]1O,ZINC20
1532549,,OC[C@@H]1O[C@@H](O)[C@@H](O)[C@H](O)[C@@H]1O,ZINC20
19363644,,OCCN1CCN(CCO)CC1,ZINC20
24255506,,OC[C@@H]1NC[C@@H]2CNC[C@@H]21,ZINC20
31483506,,O=[N+]([O-])OCC(O)CO[N+](=O)[O-],ZINC20
3137564,,CC(=O)N[C@@H](CC(N)=O)C(=O)O,ZINC20
3869794,,O=C1O[C@@H]([C@H](O)CO)[C@H](O)[C@@H]1O,ZINC20
28247776,,N=C(N)NC(=N)NCCC(=O)O,ZINC20
83267457,,CN1CCNC[C@@H](O)C1,ZINC20
88613720,,CN1C(=O)CN(N)C1=O,ZINC20
143594565,,CC(C)[C@@H]1NS(=O)(=O)NC1=O,ZINC20
4028704,,O=C(O)C[C@]1(C(=O)O)O[C@@H]1C(=O)O,ZINC20
36475234,,O[C@@H]1O[C@H]2CO[C@H]([C@@H]2O)[C@H]1O,ZINC20
19685988,,CNC(=O)C1CNC1,ZINC20
22026864,,CNCCNCCN,ZINC20
35309297,,O=C1COC[C@@H]2CNCCN12,ZINC20
85205433,,CNC(=O)C[C@@H]1NCCNC1=O,ZINC20
143264808,,NC[C@@H]1OCO[C@H]1C(=O)NC1CC1,ZINC20
3394130,,O=C(O)CN1C(=O)CNC1=O,ZINC20
34449245,,N[C@H]1CNC[C@H]1O,ZINC20
35024242,,CN(C)C[C@@H](N)C(=O)O,ZINC20
39135983,,NC(=O)[C@@H](N)C[C@@H](F)C(N)=O,ZINC20
50213513,,NCCn1cc(C(=O)O)nn1,ZINC20
95471924,,CN1C(=O)N[C@@]2(CCNC2)C1=O,ZINC20
142276469,,O=C1NC(=O)C2(COC2)N1,ZINC20
950757582,,Cn1nnc(CN)c1C(=O)O,ZINC20
3861573,,O[C@H]1OC[C@@H](O)[C@H](O)[C@@H]1O,ZINC20
2011483,,O=C(O)[C@@H](O)C[C@H](O)CO,ZINC20
